We do not believe that we should cherry-pick . ||| Wir glauben nicht , daß wir nur Rosinen herauspicken sollten .
They would then determine their own prices. ||| Sie legen dann die Preise selber fest.
Anyone who has been in an old car knows that this is to the detriment of the consumer and the amateur mechanic. ||| Jeder, der einmal ein Altfahrzeug gefahren hat, weiß, daß dies sowohl für den Verbraucher als auch für die Reparaturwerkstatt nachteilig ist.
The European consumer organisation, which has asked us to support the common position on this point, is to my mind letting the consumer down. ||| Der Europäische Verbraucherverband, der uns ersucht hat, diese Festlegung des Gemeinsamen Standpunktes zu unterstützen, läßt meiner Meinung nach die Verbraucher im Stich.
A second argument for keeping the dismantling of cars out of the manufacturers' clutches is the cost of transport. ||| Ein zweites Argument, weshalb die Demontage nicht dem Hersteller überlassen werden sollte, sind die Transportkosten.
If car manufacturers all set up their own dismantling companies, this will necessitate transporting end-of-life vehicles over long distances. ||| Wenn sämtliche Autohersteller ihre eigenen Demontagebetriebe errichten, müssen Altfahrzeuge somit über große Entfernungen befördert werden.
This is environmentally unfriendly but also expensive and does not benefit the consumer either. ||| Das ist nicht nur umweltschädlich, sondern auch kostspielig, und dem Verbraucher bringt es ebenfalls nichts.
I would therefore appreciate your support for Amendment No 45. ||| Deshalb möchte ich Sie bitten, Abänderungsantrag 45 zu unterstützen.
Mr President, Commissioner, I have asked to speak again so that I can say a few more words at the close of this debate. ||| Herr Präsident, Frau Kommissarin! Ich habe mich noch einmal zu Wort gemeldet, um nach dieser Debatte noch ein paar Sätze zu sagen.
If you travel to the Netherlands, you will find that every last owner can get rid of his car cost-free. ||| Liebe Kolleginnen und Kollegen! Wenn man in die Niederlande reist, wird man feststellen, daß in den Niederlanden jeder Letztbesitzer sein Auto kostenlos abgeben kann.
You will also find that these cars are suitably disposed of, that new material flows have been opened up in order to recycle materials, that 85% of the weight of a car is recycled and that 92% of all cars in the Netherlands are recycled. ||| Dann wird man feststellen, daß diese Autos sinnvoll entsorgt werden, daß neue Materialströme erschlossen worden sind, um die Stoffe wiederzuverwerten, daß 85 % des Gewichts eines Autos recycelt wird, daß in den Niederlanden 92 % aller Autos recycelt werden.
This is financed by a fund to which the buyer of a new car contributes. ||| Das wird finanziert durch einen Fonds, in den der Neuwagenkäufer einzahlt.
Should this be condemned ecologically, Frau Breyer? ||| Frau Breyer, ist es ökologisch verwerflich, daß das passiert?
I do not think so. ||| Ich sage Nein.
The Netherlands has an exemplary model for disposing of cars as per the wishes of the directive and the issue of whether the buyer of a new car should pay or, in the case of end-of-life vehicles currently driving around, the manufacturer, has nothing, absolutely nothing, to do with ecology; it is a simple question of competition! ||| In den Niederlanden gibt es ein vorbildliches Modell, wo Automobile entsorgt werden, so wie die Richtlinie es will, und die Frage, ob nun der Neuwagenkäufer bezahlt oder für die alten Fahrzeuge, die jetzt rumfahren, der Hersteller, hat nichts, überhaupt nichts mit Ökologie zu tun, sondern ist eine reine Frage des Wettbewerbs!
The issue here is whether a European manufacturer should pay EUR 250 million or a Korean manufacturer, say, EUR 2 million. In terms of the people who build cars here in Europe, I am in favour of not making competition unequal but, in terms of environmental protection, I want freedom from costs for the last owner, to be financed by a special fund, and manufacturer responsibility for new cars, which will force them to assume responsibility for building recyclable cars! ||| Ob ein europäischer Hersteller 250 Millionen Euro oder ein koreanischer vielleicht 2 Millionen Euro bezahlen muß, das ist hier die Frage, und im Sinne der Menschen, die hier in Europa die Autos bauen, bin ich dafür, den Wettbewerb nicht ungleich zu gestalten, sondern im Sinne des Umweltschutzes will ich für den Letztbesitzer die Kostenlosigkeit, finanziert durch einen Fonds, und für den Neuwagen natürlich die Herstellerverantwortung, weil der dann die Verantwortung zu tragen hat, auch recyclingfreundliche Autos zu bauen!
(Applause from the PSE Group) ||| (Beifall von der PSE-Fraktion)
Mr President, the proposal we are discussing has a huge amount of advantages, mainly in the interests of preventing waste and encouraging re-use, the recovery and recycling of components and the recovery of materials, etc. ||| Herr Präsident! Der zur Debatte stehende Vorschlag beinhaltet eine Fülle positiver Maßnahmen, die vor allem auf die Abfallvermeidung, die Wiederverwendung, die Verwertung und das Recycling von Bauteilen, die Verwertung von Werkstoffen und so weiter gerichtet sind.
I think we have tabled a sound proposal. ||| Meines Erachtens wurde ein guter Vorschlag auf den Tisch des Hauses gelegt.
The main thread of the discussion is about whether or not the manufacturer, the vendor, or whoever, should take the end-of-life vehicle back without any cost. ||| Bei der Diskussion geht es hauptsächlich darum, ob der Hersteller oder der Endverkäufer oder wer auch immer das Altfahrzeug kostenlos zurücknehmen muß.
I will only give the example of my own country to illustrate how this system functions there without any problems. ||| Ich möchte lediglich am Beispiel meines Landes darlegen, wie dies funktioniert, und zwar ohne Probleme.
We have reached an agreement with all the parties involved. These include car manufacturers, second-hand car dealers, the federation of the car industry, the metal processing firms, shredding firms and the government. ||| Wir haben mit allen Beteiligten, das heißt Automobilherstellern, Gebrauchtwagenhändlern, Verband der Automobilindustrie, Metallverarbeitungsbetrieben, Betreibern von Shredderanlagen und Behörden, ein Übereinkommen getroffen.
An environmental policy agreement has been signed on a voluntary basis. ||| Es besteht eine freiwillige Umweltvereinbarung.
The car industry - and Belgium produces a great many cars- did not have any problem with that. ||| Von seiten der Autoindustrie - und Belgien ist ein Land mit einer recht beachtlichen Kraftfahrzeugproduktion - gab es diesbezüglich keinerlei Vorbehalte.
Belgians can deliver their cars back to the vendor without any cost. ||| Bei uns kann man sein Auto beim Endverkäufer kostenlos abgeben.
In connection with this, we have noticed how - quite contrary to what has been said here to the effect that the scheme would be to the detriment of employment - a number of small businesses have taken the recycling of materials to heart and are doing very well. ||| Im Gegensatz zu der hier aufgestellten Behauptung, dies sei der Beschäftigung abträglich, haben wir vielmehr festgestellt, daß zahlreiche Kleinbetriebe das Recycling von Abfallmaterialien sorgfältig betreiben und dabei vorzügliche Arbeit leisten.
Some businesses have become hi-tech businesses, because they managed to recycle certain materials, even materials which are not yet included in the directive. ||| Einige spielen insofern eine Vorreiterrolle, als sie bestimmte Werkstoffe, selbst solche, die noch nicht in die Richtlinie aufgenommen sind, zu recyceln in der Lage sind.
So this means that we are developing a new sector and new employment and doing the environment a huge favour into the bargain. ||| Damit fördern wir die Entwicklung eines neuen Wirtschaftszweigs, schaffen Arbeitsplätze und erweisen gleichzeitig der Umwelt einen großen Dienst.
I am in favour of collection free of charge. ||| Ich bin für die kostenlose Rücknahme.
It worked for us. ||| In unserem Land ist dies gelungen.
Why would it not work elsewhere? ||| Weshalb sollte man sich anderswo nicht ebenfalls dazu durchringen?
Mr President, ladies and gentlemen, thank you for an interesting debate in which many important arguments have been presented. ||| Herr Präsident, sehr geehrte Abgeordnete! Vielen Dank für diese interessante Aussprache, in der viele wichtige Argumente angeführt worden sind.
Would you be so kind as to bear with me for a few minutes. ||| Ich möchte Sie bitten, mir nun ein paar Minuten lang Gehör zu schenken.
Allow me briefly to comment on some of the assumptions and principles behind the present directive. ||| Lassen Sie mich kurz einige der Ausgangspunkte und Grundsätze erläutern, die dieser Richtlinie zugrunde liegen.
Allow me also to begin by commenting on and responding to a couple of the most important arguments in this debate. ||| Zunächst möchte ich einige wesentliche Argumente dieser Aussprache kommentieren und beantworten.
First of all, I think I should repeat some of the basic facts which Mr Florenz and others have already mentioned. ||| Wir sollten, denke ich, einige Grundsätze wiederholen, die bereits von Herrn Florenz und anderen Rednern erwähnt worden sind.
What we are discussing here is the fact that close on ten million cars are scrapped every year in the European Union, resulting in approximately as many millions of tons of waste. ||| In dieser Aussprache geht es um die Tatsache, daß in der Europäischen Union jährlich fast 10 Mio. Fahrzeuge entsorgt werden und daß dabei etwa genauso viele Tonnen Abfall entstehen.
This means that almost ten million tons of waste are created by these cars, and approximately seven per cent of the latter are abandoned out in the open. ||| Das bedeutet 10 Mio. Tonnen Abfälle, die von diesen Autos anfallen, von denen etwa 7 Mio. Tonnen in der Natur zurückgelassen werden.
Moreover, they constitute environmentally hazardous substances of the worst kind. ||| Hinzu kommt, daß sie auch umweltgefährdende Stoffe der schlimmsten Sorte darstellen.
Approximately ten per cent of lead production is to be found in cars, but also cadmium, chromium, mercury and other very dangerous substances. ||| Etwa 10 % der Bleiproduktion finden sich in Autos wieder, aber auch Kadmium, Chrom, Quecksilber und andere sehr gefährliche Schadstoffe.
This is something you already know, but I would nonetheless also repeat it for the benefit of those who are listening. ||| Das wissen Sie ja alles bereits, aber ich möchte es für diejenigen, die zuhören, noch einmal wiederholen.
Cars are one of the fastest growing sources of waste we have in Europe. ||| Es handelt sich hierbei um einen der am schnellsten wachsenden Müllberge in Europa.
We know that waste from cars exists and we know how we ought to be dealing with it, and there is no excuse for not taking action. ||| Wir wissen, daß diese Abfälle da sind und wie wir damit umgehen müssen, und es gibt keine Entschuldigung dafür, nicht zu handeln.
The present directive has three aims. ||| Diese Richtlinie verfolgt drei Ziele.
First of all, we want to stop heavy metals from being used in the manufacture of new cars. ||| Zum ersten wollen wir die Verwendung giftiger Schwermetalle bei der Herstellung von Neuwagen einschränken.
Secondly, we want to establish the fact that the manufacturer is liable. ||| Zum anderen wollen wir die Verantwortung der Hersteller festschreiben.
We can no longer take care of these matters at the end of a product' s life-cycle. Instead, we should avoid creating so much waste. ||| Wir können uns nicht länger um Produkte am Ende ihres Lebenszyklus kümmern, sondern müssen auf Abfallvermeidung setzen.
We should see to it that we recycle as much as possible of the various contents of a product. ||| Von den verschiedenen im Produkt enthaltenen Werkstoffen müssen so viele wie möglich wiedergewonnen werden.
Thirdly, we wish to achieve the recycling objectives specified in the present directive. ||| Drittens wollen wir die in dieser Richtlinie präzisierten Wiederverwertungsziele erreichen.
These are the three most important aims of the directive. ||| Dies sind die drei wichtigsten Intentionen der Richtlinie.
This is, of course, because it is a waste of resources for us not to ensure that materials in cars are recycled. ||| Das in den Autos vorhandene Material nicht wiederzuverwerten, stellt eine Vergeudung von Ressourcen dar.
It is, above all, the manufacturer' s resources we are wasting if we do not get to grips with a car' s life-cycle. ||| Vor allem wird mit den Ressourcen des Herstellers verschwenderisch umgegangen, wenn wir uns nicht um den Lebenszyklus eines Autos kümmern.
Two important questions have arisen in this regard. Yes, there are in fact more than two questions, but I want to mention just two of the most important. ||| Es wurden hier zwei Fragen von großer Bedeutung aufgeworfen - natürlich gibt es noch weitere, aber ich möchte die beiden wichtigsten erwähnen.
First of all: who should pay? ||| Zum ersten: Wer soll das bezahlen?
And secondly: are we reducing the European car industry' s competitiveness by means of the present proposal? ||| Die zweite Frage lautet: Schwächen wir mit diesem Entwurf die Wettbewerbsfähigkeit der europäischen Automobilindustrie?
The first question, then, is about who should pay. ||| Bei der ersten Frage geht es also darum, wer die Kosten tragen soll.
The directive states that the polluter should pay and that the cost is to be borne mainly by the manufacturer in accordance with the principles to be found in the EU' s treaty concerning the manufacturer' s liability. ||| Laut Richtlinie sollen diese in Übereinstimmung mit den im EU-Vertrag verankerten Grundsätzen der Herstellerverantwortung und des Verursacherprinzips in erster Linie vom Hersteller übernommen werden.
It is nonetheless clear that the cost will be borne jointly by manufacturers and consumers. ||| Es ist jedoch klar, daß diese Kosten von Hersteller und Verbraucher gemeinsam getragen werden.
We have calculated that the cost of recycling cars does not constitute more than one per cent of the price of a new car. ||| Wir haben errechnet, daß der Aufwand für das Recyceln eines Autos nicht mehr als 1 % des Preises für ein Neufahrzeug ausmacht.
Do we imagine, then, that the cost would disappear if we were not to adopt this directive? No. ||| Können wir uns vormachen, daß dieses Geld verschwindet, wenn die Richtlinie nicht angenommen würde?
Clearly, we shall all have to bear the cost of serious damage to the environment, but it will be very much greater. ||| Nein, natürlich werden wir dann alle die Kosten für die Zerstörung der Umwelt tragen müssen, und das wird wesentlich teurer.
Moreover, the cost will have to be borne in the future. ||| Außerdem fallen diese erst nach längerer Zeit an.
The cost will not therefore disappear, but now we are clarifying whose liability it is and how the cost is to be distributed. ||| Die Kosten verschwinden also nicht, aber wir machen nun deutlich, wo die Verantwortung liegt und wie der finanzielle Aufwand verteilt werden soll.
Are we therefore talking about a car industry in crisis? ||| Sprechen wir hier von einer krisengeschüttelten Automobilindustrie?
Is it an unprofitable industry which we are discussing and which we really have to help by not imposing more taxes upon it? ||| Dreht sich die Diskussion um einen Wirtschaftszweig mit geringen Gewinnspannen, dem wir unter die Arme greifen müssen, indem wir ihm nicht noch mehr Bürden auferlegen?
Is it the case that the car industry definitely cannot afford these? ||| Kann sich die Fahrzeugindustrie so etwas überhaupt nicht leisten?
Is it the case that the motives behind the proposed measures are in actual fact concerned with reducing the competitiveness of the European car industry? ||| Besteht unsere wahre Absicht nicht eigentlich in der Schwächung der Wettbewerbsfähigkeit der europäischen Automobilindustrie?
No, of course not. ||| Nein, natürlich nicht!
It is quite the opposite. Do you believe that consumer demand for environmentally friendly cars and more fuel-efficient cars is going to decline in the future? ||| Glauben Sie, daß der Ruf der Verbraucher nach umweltfreundlichen Autos und Fahrzeugen mit geringerem Kraftstoffverbrauch in der Zukunft verstummen wird?
What kind of requirements do you think our children and grandchildren and future legislators are going to make of cars? ||| Was denken Sie, welche Anforderungen unsere Kinder und Kindeskinder oder die Gesetzgeber der Zukunft an die Autos stellen werden?
Naturally, that they should be environmentally friendly, that they should be recyclable, that they should be fuel-efficient and that they should not pollute our environment. ||| Natürlich, daß diese umweltfreundlich sein müssen, recycelt werden können, wenig Kraftstoff verbrauchen und unsere Umwelt nicht verschmutzen!
It is, of course, only in this way that we can create a future for the car industry. ||| Nur auf diese Weise können wir der Fahrzeugindustrie eine Zukunft geben.
We must create forms of motive power which are not damaging to health and which are of such a kind that we can deal with the relevant waste, recycle materials and compete by means of environmentally friendly and fuel-efficient cars. ||| Wir müssen gesunde Anreize dafür schaffen, daß Abfälle wiederverwertet und Werkstoffe wiederverwendet werden und wir im Wettbewerb mit umweltfreundlichen Fahrzeugen mit geringem Kraftstoffverbrauch bestehen können.
The fact that we have a European car industry which has already made great strides more than properly compensates for the fact that there are, in fact, a good many cars on European roads for which they must take responsibility. ||| Die Tatsache, daß die europäische Automobilindustrie bereits weit fortgeschritten ist, entschädigt sie mehr als ausreichend dafür, daß noch mehr Autos durch Europa rollen, für die sie die Verantwortung übernehmen muß.
The cost is not insurmountable; nor is the task an impossible one. ||| Es handelt sich hierbei nicht um horrende Summen oder eine unlösbare Aufgabe.
If we develop motive power of the kind I have described, I am quite certain that market forces and commercial interests in the car industry will ensure that mechanisms develop for dealing with both the cost and the workload. These will consist of everything from insurance to sensible and effective scrapping and recycling systems. ||| Wenn wir die entsprechenden Anreize schaffen, werden - und da bin ich mir ganz sicher - die Kräfte des Marktes und die Geschäftsinteressen der Automobilindustrie dafür sorgen, daß hier Systeme entstehen, die diese Dinge regeln, angefangen bei Versicherungen bis hin zu guten und vernünftigen Formen der Verschrottung und des Recycling.
The industry itself will ensure that these systems are introduced in Europe. ||| Die Industrie selbst wird dann dafür Sorge tragen, daß sich so etwas in Europa entwickelt.
They will not represent an insurmountable cost for the European car industry. ||| Die der europäischen Fahrzeugindustrie dabei entstehenden Kosten sind nicht unbezahlbar hoch.
They will instead help industry to be in the vanguard of eventually producing environmentally friendly and more fuel-efficient cars. ||| Vielmehr wird die Wirtschaft dadurch motiviert, allmählich eine Spitzenposition bei der Herstellung umweltfreundlicher Fahrzeuge mit geringem Kraftstoffverbrauch einzunehmen.
We must do this for the sake of the environment. ||| Wir müssen dies der Umwelt zuliebe tun.
The costs will not disappear. Nor will the waste disappear. ||| Die Kosten verschwinden nicht, ebensowenig wie die Abfälle.
But, otherwise, we must all of us, as taxpayers or citizens, foot the bill. What is more, the costs will be higher the longer we wait before taking action. ||| Sonst müssen wir alle als Steuerzahler oder Bürger die Rechnung bezahlen, die außerdem um so teurer wird, je länger wir warten.
That is what I should like to say by way of introduction. ||| Dies wollte ich gern einleitend zum Ausdruck bringen.
I also want to comment on the question as to whether there is to be any retroactive legislation. ||| Lassen Sie mich nun die Frage der rückwirkenden Gesetzgebung behandeln.
If we assume that, on average, a car has a life of eleven years, do Members, indeed does anyone, believe that we should wait for eleven years before we get to grips with this problem? ||| Wenn wir davon ausgehen, daß ein Auto im Durchschnitt eine Lebensdauer von elf Jahren hat, meinen Sie oder irgend jemand von Ihnen, daß wir jetzt elf Jahre warten sollten, ehe wir an die Lösung dieses Problems gehen?
Do you think that, when we legislate about chemicals, we should say that we are ignoring those chemicals which are already on the market and that we are legislating only for what is to be produced in the future? ||| Sind Sie der Ansicht, daß wir die bereits auf dem Markt befindlichen Chemikalien außer acht lassen und Vorschriften nur für die in der Zukunft hergestellten erlassen sollten?
Clearly, we must consider the problem which exists here and now and the challenge presented by the existing range of cars. It is still not an insurmountable problem. ||| Natürlich müssen wir auch die gegenwärtig existierenden Schwierigkeiten anpacken und die Herausforderung annehmen, die der vorhandene Wagenpark darstellt.
We can deal with it. ||| Das ist nach wie vor kein unlösbares Problem.
We already have an infrastructure. We have what we require in order to deal with end-of-life cars. ||| Wir können es in Angriff nehmen, denn wir besitzen bereits die entsprechende Infrastruktur, alles, was zur Entsorgung von Altautos notwendig ist.
I naturally hope that the result of today' s vote will be a good one. ||| Ich hoffe natürlich auf ein positives Ergebnis der heutigen Abstimmung.
If I have not already done so, I would also thank Mr Karl-Heinz Florenz for the hard work he has put into this proposal on the Committee on the Environment, Public Health and Consumer Policy. In fact, it is in many respects pioneering work when it comes to re-use and manufacturer' s liability. ||| Außerdem möchte ich - falls ich das noch nicht getan habe - Herrn Karl-Heinz Florenz für die umfassende Arbeit danken, die er im Umweltausschuß bezüglich dieses Entwurfs geleistet hat, der in Fragen der Wiederverwertung und der Herstellerverantwortung in vieler Hinsicht bahnbrechend ist.
I believe it will have very positive and noticeable effects on the environment. ||| Ich denke, dieser Entwurf wird sehr positive und spürbare Effekte für die Umwelt haben.
We cannot continue to close our eyes to these matters. As I have said, we have both the knowledge and the resources to cope with these issues. ||| Wir können unsere Augen nicht vor den Problemen verschließen, denn wir besitzen, wie gesagt, sowohl das Wissen als auch die Mittel für ihre Lösung.
After the first reading in the European Parliament in 1999, the Commission' s proposal ended up in an awkward political situation in the Council. ||| Nach der ersten Lesung im Europäischen Parlament im Jahre 1999 traf der Vorschlag der Kommission im Rat auf eine komplizierte politische Situation.
However, we obtained a well-balanced common position in July during the Finnish Presidency. ||| Unter der finnischen Ratspräsidentschaft kam dann aber im Juli doch ein ausgewogener Gemeinsamer Standpunkt zustande.
Now, we must ensure that the present legislative process is concluded successfully. ||| Jetzt müssen wir dafür sorgen, daß dieses legislative Verfahren erfolgreich abgeschlossen wird.
A total of 48 amendments have been tabled. ||| Insgesamt sind 48 Änderungsanträge vorgelegt worden.
The Commission can adopt 10 amendments in their entirety. ||| Davon kann die Kommission 10 vollständig, drei teilweise und einen prinzipiell akzeptieren.
Three amendments can be partially approved, and one can be approved in principle. Certain amendments concern improvements to the Commission' s proposal which we adopted as early as at the first reading or else they reintroduce into the directive such parts of the original proposal as the Council has removed. ||| Einige Änderungsanträge beziehen sich auf Verbesserungen des Vorschlags der Kommission, die wir bereits bei der ersten Lesung angenommen haben oder bringen erneut solche Teile des ursprünglichen Entwurfs in die Richtlinie ein, die der Rat daraus entfernt hatte.
This applies to Amendment No 5, excluding section 1; 8 and 9, section 1; 10 and 12, section 3; 15, 16, 20, 22, 24 and 25. These amendments can all be approved. ||| Das betrifft die Änderungsanträge 5, ohne Absatz eins, 8, 9, erster Absatz, 10, 12, dritter Absatz, 15, 16, 20, 22, 24 und 25, die alle angenommen werden können.
Amendments Nos 6 and 21 are new; the Commission can approve these. ||| Die Änderungsanträge 6 und 21 sind neu und können von der Kommission akzeptiert werden.
The Commission can also approve Amendment No 26 with certain editorial changes. ||| Mit einigen redaktionellen Änderungen trifft das ebenso auf Änderungsantrag 26 zu.
I want to emphasise that a number of the other amendments affecting the proposal' s basic components involve a considerable watering-down of the level of environmental protection aimed at by the common position. They cannot therefore be approved. ||| Ich möchte auch betonen, daß einige der übrigen Änderungsanträge, die sich auf grundlegende Bestandteile des Entwurfs beziehen, eine erhebliche Verwässerung des mit dem Gemeinsamen Standpunkt angestrebten Umweltschutzniveaus darstellen und darum nicht angenommen werden können.
Parliament has traditionally made a major contribution to strengthening environmental legislation in Europe. It would amaze and depress me if it were not to do so today. ||| Das Parlament hat traditionell in hohem Maße zu einer starken Umweltgesetzgebung in Europa beigetragen, und es würde mich verwundern und betrüben, wenn dies nicht auch heute der Fall wäre.
I am very concerned about certain amendments from Parliament which bring the absolutely basic pillars of the present proposal into question. ||| Große Sorgen bereiten mir einige Änderungsanträge des Parlaments, die die absoluten Grundpfeiler des Entwurfs in Frage stellen.
These concern, for example, the phasing-out of heavy metals, manufacturer' s liability and the requirement for recycling. ||| Das betrifft u. a. die schrittweise Einschränkung der Verwendung von Schwermetallen, die Verantwortung der Hersteller und die Forderung nach Recycling.
I want to deal with these amendments on a group-by-group basis. ||| Ich möchte diese Änderungsanträge gruppenweise abhandeln.
Amendments Nos 4, 11, 12, 13, 28, 30, 32, 37, 42 and 48 concern the phasing-out of heavy metals. ||| Die Änderungsanträge 4, 11, 12, 13, 28, 30, 32, 37, 42 und 48 beziehen sich auf die schrittweise Einschränkung der Verwendung von Schwermetallen.
Amendment No 12 involves a delay of at least ten years in bringing the provision into force. ||| Durch Änderungsantrag 12 würde das Inkrafttreten des Artikels um mindestens 10 Jahre verzögert.
Amendments Nos 13, 28, 32, 37, 42 and 48 involve introducing unnecessary conditions and exceptions. This would mean that the process of replacing dangerous substances would be implemented more slowly. ||| Mit den Änderungsanträgen 13, 28, 32, 37, 42 und 48 werden unnötige Bedingungen und Ausnahmen eingeführt, wodurch die Ersetzung schädlicher Stoffe verschleppt wird.
Amendments Nos 4, 11 and 30 mean that heavy metals have to be separated from the waste before recycling. ||| Die Änderungsanträge 4, 11 und 30 bedeuten, daß Schwermetalle vor dem Recycling von den Abfällen getrennt werden müssen.
The Commission considers that the type of phasing-out proposed in the common position is easier to apply from a technical point of view. ||| Die Kommission ist der Ansicht, daß die im Gemeinsamen Standpunkt vorgeschlagene schrittweise Einschränkung aus technischer Sicht leichter durchzuführen ist.
Amendments Nos 17, 18, 27, 34, 36, 38, 44 and 45 relate to the manufacturer' s liability. ||| Die Änderungsanträge 17, 18, 27, 34, 36, 38, 44 und 45 behandeln die Verantwortung des Herstellers.
The compromise reached by the Council is fair but fragile. The Commission does not consider that the amendments would improve the balance without, at the same time, creating tensions. ||| Der vom Rat vorgelegte Kompromiß ist gerecht, aber zerbrechlich, und die Kommission ist nicht der Ansicht, daß die Änderungsanträge das Gleichgewicht verbessern, ohne gleichzeitig Spannungen zu schaffen.
I regret the confusion which arose recently due to internal documents from the Commission being wrongly used, so creating uncertainty about the Commission' s attitude to the issue. ||| Ich bedauere die Verwirrung, die kürzlich durch die fehlerhafte Verwendung von internen Dokumenten der Kommission entstand, was zu Unsicherheiten über die Einstellung der Kommission in dieser Frage führte.
I want to emphasise that, as early as 1997, the Commission proposed a special clause concerning manufacturer' s liability and that the Commission entirely supports the common position. ||| Lassen Sie mich darauf hinweisen, daß die Kommission bereits 1997 eine besondere Klausel zur Verantwortung der Hersteller vorgeschlagen hat und den Gemeinsamen Standpunkt voll und ganz unterstützt.
This does not impose disproportionate costs upon manufacturers. Far from it. ||| Das erlegt den Herstellern bei weitem keine überdimensionalen Kosten auf.
Amendments Nos 39, 40, 46 and 47 concern quantified objectives. ||| Quantifizierbare Ziele werden in den Änderungsanträgen 39, 40, 46 und 47 behandelt.
The high level of protection aimed at by the common position would be very much undermined if the recycling objective for the year 2006 were removed. ||| Eine Abschaffung der für 2006 gestellten Recyclingziele würde das hohe Schutzniveau des Gemeinsamen Standpunktes aushöhlen.
These amendments would also make the objectives awkward to deal with and difficult to supervise. ||| Diese Änderungsanträge würden es außerdem erschweren, mit den Zielen umzugehen und sie zu überwachen.
Allow me also - listen carefully to what I am saying now, because I have heard this reiterated in the debate - allow me to comment on the issue of vintage and "cherished" cars as mentioned in Amendments Nos 3, 7, and 9, section 2, and 35. ||| Weiterhin möchte ich - und nun hören Sie mir genau zu, denn diese Frage wurde in der Aussprache mehrfach erwähnt - das Thema Oldtimer und Fahrzeuge mit Sammlerwert kommentieren, das in den Änderungsanträgen 3, 7, 9, zweiter Absatz, und 35 behandelt wird.
Such vehicles are not covered by the definition of waste and are not therefore included under the directive. ||| Solche Fahrzeuge fallen nicht unter die Definition für Abfälle und somit auch nicht unter die Richtlinie.
So, whatever has been stated in this regard, vintage cars and motorcycles are not included under the directive. ||| Was auch immer hier behauptet wurde, Oldtimer und Motorräder sind nicht Bestandteil dieser Richtlinie.
We do not consider that Amendments Nos 2 and 14 add anything to the directive. ||| Wir sind nicht der Ansicht, daß die Änderungsanträge 2 und 14 der Richtlinie etwas Neues hinzufügen.
Amendment No 23 involves the Commission' s having to adopt quality standards for reusable components. ||| Mit Änderungsantrag 23 ist die Kommission gezwungen, Qualitätsnormen für wiederverwertbare Bauteile anzunehmen.
This is not covered by the directive. ||| Das ist kein Bestandteil der Richtlinie.
An ad hoc directive should therefore be demanded from the European Parliament and the Council. ||| Darum wäre eine entsprechende Ad-hoc-Richtlinie des Europäischen Parlaments und des Rates notwendig.
Amendments Nos 29, 31 and 41 water down the requirements concerning the dismantling of vehicles. ||| Die Änderungsanträge 29, 31 und 41 verwässern die Demontageforderungen.
There is a danger of Amendments Nos 31 and 41 reducing the chances of recycling plastic, tyres and glass. ||| Vor allem durch die Änderungsanträge 31 und 41 besteht die Gefahr, daß die Möglichkeiten zur Wiederverwertung von Kunststoffen, Reifen und Glas ausgehöhlt werden.
Finally, the Commission cannot approve Amendments Nos 1 and 33 for reasons to do with legal clarity; nor Amendment No 19, which the Commission considers to be unnecessary at this stage. ||| Schließlich kann die Kommission die Änderungsanträge 1 und 33 aus Gründen der juristischen Klarheit nicht annehmen, ebensowenig wie Änderungsantrag 19, den die Kommission in diesem Stadium als unnötig ansieht.
Furthermore, Amendment No 43 does not fall within the directive' s area of applicability. ||| Außerdem gehört Änderungsantrag 43 nicht in den Geltungsbereich dieser Richtlinie.
Thank you very much, Commissioner. ||| Vielen Dank, Frau Kommissarin.
The debate is closed. ||| Die Aussprache ist geschlossen.
We shall now proceed to the vote. ||| Die Abstimmung findet im Anschluß statt.
Vote ||| Abstimmungen
Madam President, as you know, the reason we are voting this report today rather than last week is because of the numerous and serious translation errors, particularly in the French version. ||| Frau Präsidentin, wie Sie wissen, stimmen wir erst heute über den Bericht ab - und haben das nicht schon letzte Woche getan -, weil vor allem die französische Version zahlreiche und schwerwiegende Übersetzungsfehler aufwies.
You have received a letter of complaint from me about the number of mistakes in this report and in other reports with which I have had dealings recently. ||| Sie haben von mir ein Beschwerdeschreiben über die Zahl der Fehler erhalten, die in diesem und anderen Berichten, mit denen ich in letzter Zeit zu tun hatte, enthalten waren.
There is an error which has still not been corrected and that is on Amendment No 4. ||| Ein Fehler, der immer noch nicht behoben wurde, ist in Änderungsantrag 5 zu finden.
In the English version we refer to pharmaceutical and scientific organisations. In the French version that becomes 'entreprises pharmaceutiques et organisations scientifiques' . ||| In der englischen Version ist von 'pharmaceutical and scientific organisations' die Rede, die in der französischen Version zu 'entreprises pharmaceutiques et organisations scientifiques' werden.
Could you please make sure that French-speaking Members of this House know that the word entreprises is not correct. ||| Könnten Sie bitte dafür sorgen, daß die französisch sprechenden Abgeordneten dieses Hauses wissen, daß das Wort entreprises nicht richtig ist.
It should not be in the amendment. ||| Es hat im Änderungsantrag nichts zu suchen.
And, again, I urge you, Madam President, to look at the standard of translation that we are receiving currently. ||| Frau Präsidentin, ich fordere Sie nochmals auf, im Zusammenhang mit der Qualität der Übersetzungen, die uns in letzter Zeit zugehen, etwas zu unternehmen.
